ID,Name,Location,Difficulty,Rating,Length,Gain,Route,Keywords,Link,img1,img2,img3
stoney-hill-trail-loop,Stoney Hill Trail Loop,Stoney Hill Regional Park,easy,4.6,3.7,115,Loop,"Dogs on leash, Hiking, Nature trips, Walking, Bird watching, Running, Forest, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/stoney-hill-trail-loop?ref=result-card,stoney-hill-trail-loop-0.jpg,stoney-hill-trail-loop-1.jpg,stoney-hill-trail-loop-2.jpg
sasamat-lake,Sasamat Lake,Belcarra Regional Park,easy,4.3,3.2,48,Loop,"Dogs on leash, Kid friendly, Fishing, Hiking, Nature trips, Walking, Bird watching, Running, Beach, Forest, Lake, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/sasamat-lake?ref=result-card,sasamat-lake-0.jpg,sasamat-lake-1.jpg,sasamat-lake-2.jpg
burnaby-lake-park-trail,Burnaby Lake Park Trail,Burnaby Lake Regional Park,easy,4,10,26,Loop,"Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Forest, Lake, River, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/burnaby-lake-park-trail?ref=result-card,burnaby-lake-park-trail-0.jpg,burnaby-lake-park-trail-1.jpg,burnaby-lake-park-trail-2.jpg
admiralty-point-trail,Admiralty Point Trail,Belcarra Regional Park,easy,4.3,5.3,83,Out & Back,"Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, Forest, Lake, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/admiralty-point-trail?ref=result-card,admiralty-point-trail-0.jpg,admiralty-point-trail-1.jpg,admiralty-point-trail-2.jpg
brandywine-trail,Brandywine Trail,Brandywine Falls Park,easy,4.1,5.8,164,Out & Back,"Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Forest, Lake, Views, Waterfall, Snow",https://www.alltrails.com/trail/canada/british-columbia/brandywine-trail?ref=result-card,brandywine-trail-0.jpg,brandywine-trail-1.jpg,brandywine-trail-2.jpg
four-lakes-trail,Four Lakes Trail,Alice Lake Provincial Park,easy,4.3,6.1,146,Loop,"Dogs on leash, Kid friendly, Camping, Fishing, Hiking, Mountain biking, Nature trips, Walking, Bird watching, Running, Beach, Forest, Lake, River, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/four-lakes-trail?ref=result-card,four-lakes-trail-0.jpg,four-lakes-trail-1.jpg,four-lakes-trail-2.jpg
deer-lake-trail,Deer Lake Trail,Deer Lake Park,easy,4.1,4.8,51,Loop,"Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, Forest, Lake, Partially paved, Views, Wildflowers",https://www.alltrails.com/trail/canada/british-columbia/deer-lake-trail?ref=result-card,deer-lake-trail-0.jpg,deer-lake-trail-1.jpg,deer-lake-trail-2.jpg
juan-de-fuca-marine-trail-to-mystic-beach-outlook,Juan De Fuca Marine Trail to Mystic Beach Outlook,Juan de Fuca Provincial Park,easy,4.4,4,157,Out & Back,"Dogs on leash, Kid friendly, Hiking, Beach, Forest, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/juan-de-fuca-marine-trail-to-mystic-beach-outlook?ref=result-card,juan-de-fuca-marine-trail-to-mystic-beach-outlook-0.jpg,juan-de-fuca-marine-trail-to-mystic-beach-outlook-1.jpg,juan-de-fuca-marine-trail-to-mystic-beach-outlook-2.jpg
yew-lake-and-bowen-lookout,Bowen Lookout and Yew Lake Loop,Cypress Provincial Park,easy,4.4,4.3,150,Loop,"Kid friendly, Hiking, Nature trips, Snowshoeing, Walking, Bird watching, Running, Forest, Lake, Views, Wildlife, Snow, No dogs",https://www.alltrails.com/trail/canada/british-columbia/yew-lake-and-bowen-lookout?ref=result-card,yew-lake-and-bowen-lookout-0.jpg,yew-lake-and-bowen-lookout-1.jpg,yew-lake-and-bowen-lookout-2.jpg
rolley-falls-and-lake,Rolley Falls and Lake Trail,Rolley Lake Park,easy,4.1,4.7,160,Loop,"Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Lake, Views, Waterfall, Wildlife, Blowdown, Muddy",https://www.alltrails.com/trail/canada/british-columbia/rolley-falls-and-lake?ref=result-card,rolley-falls-and-lake-0.jpg,rolley-falls-and-lake-1.jpg,rolley-falls-and-lake-2.jpg
whistler-train-wreck-via-sea-to-sky-and-train-wreck-trails,Whistler Train Wreck via Sea to Sky and Train Wreck Trails,"Whistler, British Columbia",easy,4.2,2.3,46,Out & Back,"Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Forest, River, Historic site",https://www.alltrails.com/trail/canada/british-columbia/whistler-train-wreck-via-sea-to-sky-and-train-wreck-trails?ref=result-card,whistler-train-wreck-via-sea-to-sky-and-train-wreck-trails-0.jpg,whistler-train-wreck-via-sea-to-sky-and-train-wreck-trails-1.jpg,whistler-train-wreck-via-sea-to-sky-and-train-wreck-trails-2.jpg
christie-falls-via-trans-canada-trail,Christie Falls via Trans Canada Trail,"Cowichan Valley H, British Columbia",easy,4.3,6.8,137,Loop,"Kid friendly, Hiking, Nature trips, Running, Forest, Waterfall, Wildlife, Snow",https://www.alltrails.com/trail/canada/british-columbia/christie-falls-via-trans-canada-trail?ref=result-card,christie-falls-via-trans-canada-trail-0.jpg,christie-falls-via-trans-canada-trail-1.jpg,christie-falls-via-trans-canada-trail-2.jpg
mundy-park-trail,Mundy Park Trail,Mundy Park,easy,4.3,4.3,51,Loop,"Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, Dog friendly, Forest, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/mundy-park-trail?ref=result-card,mundy-park-trail-0.jpg,mundy-park-trail-1.jpg,mundy-park-trail-2.jpg
englishman-river-falls,Englishman River Falls Trail,Englishman River Falls Provincial Park,easy,4.3,1.3,52,Loop,"Kid friendly, Camping, Hiking, Nature trips, Walking, Running, Beach, Dog friendly, Forest, Rails trails, River, Views, Waterfall, Wildlife, Rocky",https://www.alltrails.com/trail/canada/british-columbia/englishman-river-falls?ref=result-card,englishman-river-falls-0.jpg,englishman-river-falls-1.jpg,englishman-river-falls-2.jpg
westwood-lake-trail,Westwood Lake Trail,Westwood Lake Park,easy,4.3,5.8,121,Loop,"Dogs on leash, Hiking, Mountain biking, Nature trips, Walking, Running, Forest, Lake, River, Views, Waterfall, Wildlife, Muddy, Rocky, Snow",https://www.alltrails.com/trail/canada/british-columbia/westwood-lake-trail?ref=result-card,westwood-lake-trail-0.jpg,westwood-lake-trail-1.jpg,westwood-lake-trail-2.jpg
rice-creek-loop-trail,Rice Lake via Rice Creek Loop Trail,Lower Seymour Conservation Reserve,easy,4.3,2.7,22,Loop,"Kid friendly, Stroller friendly, Fishing, Nature trips, Walking, Running, Forest, Lake, Views, Wildlife, No dogs",https://www.alltrails.com/trail/canada/british-columbia/rice-creek-loop-trail?ref=result-card,rice-creek-loop-trail-0.jpg,rice-creek-loop-trail-1.jpg,rice-creek-loop-trail-2.jpg
cable-bay-nature-trail,Cable Bay Nature Trail,"Nanaimo, British Columbia",easy,4.3,6.6,119,Out & Back,"Kid friendly, Hiking, Walking, Bird watching, Running, Beach, Dog friendly, River, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/cable-bay-nature-trail?ref=result-card,cable-bay-nature-trail-0.jpg,cable-bay-nature-trail-1.jpg,cable-bay-nature-trail-2.jpg
lynn-canyon,Lynn Canyon,Lynn Canyon Park,easy,4.3,2.7,146,Loop,"Kid friendly, Hiking, Nature trips, Running, Forest, River, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/lynn-canyon?ref=result-card,lynn-canyon-0.jpg,lynn-canyon-1.jpg,lynn-canyon-2.jpg
cypress-falls-hike,Cypress Falls,Cypress Falls Park,easy,4.1,2.7,124,Out & Back,"Kid friendly, Hiking, Nature trips, Bird watching, Running, Dog friendly, Forest, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/cypress-falls-hike?ref=result-card,cypress-falls-hike-0.jpg,cypress-falls-hike-1.jpg,cypress-falls-hike-2.jpg
steelhead-falls-trail,Steelhead Falls Trail,Hayward Lake Recreation Area,easy,4.4,1.8,61,Out & Back,"Dogs on leash, Kid friendly, Hiking, Nature trips, Forest, River, Waterfall, Bridge out",https://www.alltrails.com/trail/canada/british-columbia/steelhead-falls-trail?ref=result-card,steelhead-falls-trail-0.jpg,steelhead-falls-trail-1.jpg,steelhead-falls-trail-2.jpg
fairy-creek-waterfall-trail,Fairy Creek Waterfall Trail,"Fernie, British Columbia",easy,4.2,4.5,105,Out & Back,"Kid friendly, Hiking, Mountain biking, Nature trips, Snowshoeing, Walking, Bird watching, Running, Dog friendly, Forest, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/fairy-creek-waterfall-trail?ref=result-card,fairy-creek-waterfall-trail-0.jpg,fairy-creek-waterfall-trail-1.jpg,fairy-creek-waterfall-trail-2.jpg
port-moody-shoreline-trail,Port Moody Shoreline Trail,Inlet Park,easy,3.8,5.8,26,Out & Back,"Dogs on leash, Wheelchair friendly, Kid friendly, Stroller friendly, Hiking, Mountain biking, Road biking, Walking, Running, Forest, Partially paved, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/port-moody-shoreline-trail?ref=result-card,port-moody-shoreline-trail-0.jpg,port-moody-shoreline-trail-1.jpg,port-moody-shoreline-trail-2.jpg
kanaka-creek,Kanaka Creek,Kanaka Creek Regional Park,easy,4.3,2.3,89,Loop,"Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Forest, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/kanaka-creek?ref=result-card,kanaka-creek-0.jpg,kanaka-creek-1.jpg,kanaka-creek-2.jpg
fort-to-fort-trail--2,Fort to Fort Trail,Brae Island Regional Park,easy,4.2,7.9,66,Out & Back,"Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, Forest, River, Views, Wildflowers",https://www.alltrails.com/trail/canada/british-columbia/fort-to-fort-trail--2?ref=result-card,fort-to-fort-trail--2-0.jpg,fort-to-fort-trail--2-1.jpg,fort-to-fort-trail--2-2.jpg
capilano-pacific-trail,Capilano Pacific Trail,Capilano River Regional Park,easy,4,6,203,Point to point,"Dogs on leash, Kid friendly, Fishing, Hiking, Mountain biking, Road biking, Walking, Bird watching, Running, Forest, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/capilano-pacific-trail?ref=result-card,capilano-pacific-trail-0.jpg,capilano-pacific-trail-1.jpg,capilano-pacific-trail-2.jpg
houston-trail,Houston Trail,Derby Reach Regional Park,easy,4.2,4.2,59,Loop,"Dogs on leash, Kid friendly, Hiking, Horseback riding, Nature trips, Walking, Bird watching, Running, Forest, Views",https://www.alltrails.com/trail/canada/british-columbia/houston-trail?ref=result-card,houston-trail-0.jpg,houston-trail-1.jpg,houston-trail-2.jpg
lightning-lake-loop,Lightning Lake Loop,E.C. Manning Provincial Park,easy,4.2,8.5,206,Loop,"Kid friendly, Hiking, Snowshoeing, Walking, Bird watching, Dog friendly, Forest, Lake",https://www.alltrails.com/trail/canada/british-columbia/lightning-lake-loop?ref=result-card,lightning-lake-loop-0.jpg,lightning-lake-loop-1.jpg,lightning-lake-loop-2.jpg
sandy-cove-trail,Sandy Cove Trail,"Harrison Hot Springs, British Columbia",easy,4,3.5,158,Loop,"Kid friendly, Hiking, Nature trips, Walking, Bird watching, Forest, Lake, Views, Wildflowers",https://www.alltrails.com/trail/canada/british-columbia/sandy-cove-trail?ref=result-card,sandy-cove-trail-0.jpg,sandy-cove-trail-1.jpg,sandy-cove-trail-2.jpg
little-qualicum-falls-provincial-park,Little Qualicum Falls Provincial Park,Little Qualicum Falls Park,easy,4.3,2.9,66,Out & Back,"Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Forest, River, Views, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/little-qualicum-falls-provincial-park?ref=result-card,little-qualicum-falls-provincial-park-0.jpg,little-qualicum-falls-provincial-park-1.jpg,little-qualicum-falls-provincial-park-2.jpg
rainforest-figure-eight,Rainforest Figure Eight,Pacific Rim National Park Reserve,easy,4.6,3.2,53,Loop,"Kid friendly, Hiking, Nature trips, Walking, Bird watching, Forest, Views, Wildflowers, Wildlife, No dogs",https://www.alltrails.com/trail/canada/british-columbia/rainforest-figure-eight?ref=result-card,rainforest-figure-eight-0.jpg,rainforest-figure-eight-1.jpg,rainforest-figure-eight-2.jpg
east-canyon-trail,East Canyon Trail,Golden Ears Provincial Park,easy,4.2,10.9,274,Out & Back,"Dogs on leash, Kid friendly, Hiking, Nature trips, Road biking, Walking, Bird watching, Running, Forest, River, Views, Waterfall, Wildflowers, Rocky",https://www.alltrails.com/trail/canada/british-columbia/east-canyon-trail?ref=result-card,east-canyon-trail-0.jpg,east-canyon-trail-1.jpg,east-canyon-trail-2.jpg
nairn-falls-trail,Nairn Falls Trail,Nairn Falls Provincial Park,easy,4.1,2.6,108,Out & Back,"Dogs on leash, Hiking, Nature trips, Walking, Bird watching, Forest, Views, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/nairn-falls-trail?ref=result-card,nairn-falls-trail-0.jpg,nairn-falls-trail-1.jpg,nairn-falls-trail-2.jpg
bridal-veil-falls,Bridal Veil Falls,Bridal Veil Falls Park,easy,4.2,1,86,Loop,"Dogs on leash, Kid friendly, Hiking, Nature trips, Running, Forest, River, Views, Waterfall, Wildflowers, Wildlife, Muddy",https://www.alltrails.com/trail/canada/british-columbia/bridal-veil-falls?ref=result-card,bridal-veil-falls-0.jpg,bridal-veil-falls-1.jpg,bridal-veil-falls-2.jpg
shannon-falls-lookout,Shannon Falls Lookout,Shannon Falls Provincial Park,easy,4.3,1,39,Loop,"Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Forest, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/shannon-falls-lookout?ref=result-card,shannon-falls-lookout-0.jpg,shannon-falls-lookout-1.jpg,shannon-falls-lookout-2.jpg
cedars-mill-trail,Cedars Mill Trail,Lynn Headwaters Regional Park,easy,4.3,8,103,Out & Back,"Dogs on leash, Kid friendly, Hiking, Walking, Running, River",https://www.alltrails.com/trail/canada/british-columbia/cedars-mill-trail?ref=result-card,cedars-mill-trail-0.jpg,cedars-mill-trail-1.jpg,cedars-mill-trail-2.jpg
jack-point--2,Jack Point,Biggs & Jack Point Park,easy,4.4,5.1,65,Out & Back,"Dogs on leash, Kid friendly, Hiking, Walking, Running, Beach, Forest, Views, Wildflowers",https://www.alltrails.com/trail/canada/british-columbia/jack-point--2?ref=result-card,jack-point--2-0.jpg,jack-point--2-1.jpg,jack-point--2-2.jpg
wild-pacific-trail-browns-beach-to-rocky-bluffs,Wild Pacific Trail: Brown's Beach to Rocky Bluffs,"Ucluelet, British Columbia",easy,4.5,2.6,37,Point to point,"Dogs on leash, Hiking, Nature trips, Walking, Bird watching, Running, Beach, Forest, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/wild-pacific-trail-browns-beach-to-rocky-bluffs?ref=result-card,wild-pacific-trail-browns-beach-to-rocky-bluffs-0.jpg,wild-pacific-trail-browns-beach-to-rocky-bluffs-1.jpg,wild-pacific-trail-browns-beach-to-rocky-bluffs-2.jpg
elk-and-beaver-lake-loop,Elk and Beaver Lake Loop,Elk/Beaver Lake Regional Park,easy,4.3,10,78,Loop,"Dogs on leash, Kid friendly, Mountain biking, Paddle sports, Walking, Running, Forest, Lake, Views, Muddy",https://www.alltrails.com/trail/canada/british-columbia/elk-and-beaver-lake-loop?ref=result-card,elk-and-beaver-lake-loop-0.jpg,elk-and-beaver-lake-loop-1.jpg,elk-and-beaver-lake-loop-2.jpg
paint-pots,Paint Pots,Kootenay National Park,easy,3.9,1.9,52,Out & Back,"Dogs on leash, Kid friendly, Hiking, Nature trips, Snowshoeing, Walking, Forest, River",https://www.alltrails.com/trail/canada/british-columbia/paint-pots?ref=result-card,paint-pots-0.jpg,paint-pots-1.jpg,paint-pots-2.jpg
hoodoo-trail,Hoodoo Trail,"Columbia Lake 3, British Columbia",easy,4,3.2,120,Out & Back,"Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/hoodoo-trail?ref=result-card,hoodoo-trail-0.jpg,hoodoo-trail-1.jpg,hoodoo-trail-2.jpg
cascade-falls,Cascade Falls,Cascade Falls Regional Park,easy,4.4,0.6,27,Out & Back,"Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Forest, River, Views, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/cascade-falls?ref=result-card,cascade-falls-0.jpg,cascade-falls-1.jpg,cascade-falls-2.jpg
smugglers-cove,Smuggler Cove,Smuggler Cove Marine Provincial Park,easy,4.4,3.7,78,Out & Back,"Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Beach, Forest, Partially paved, Views",https://www.alltrails.com/trail/canada/british-columbia/smugglers-cove?ref=result-card,smugglers-cove-0.jpg,smugglers-cove-1.jpg,smugglers-cove-2.jpg
poco-traboulay-trail-loop,PoCo Traboulay Trail Loop,"Port Coquitlam, British Columbia",easy,4.3,25.3,79,Loop,"Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Running, Forest, River, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/poco-traboulay-trail-loop?ref=result-card,poco-traboulay-trail-loop-0.jpg,poco-traboulay-trail-loop-1.jpg,poco-traboulay-trail-loop-2.jpg
creyke-point-and-squeaky-point-via-coast-trail,Creyke Point and Squeaky Point via Coast Trail,East Sooke Regional Park,easy,4.6,4.2,42,Out & Back,"Kid friendly, Hiking, Walking, Running, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/creyke-point-and-squeaky-point-via-coast-trail?ref=result-card,creyke-point-and-squeaky-point-via-coast-trail-0.jpg,creyke-point-and-squeaky-point-via-coast-trail-1.jpg,creyke-point-and-squeaky-point-via-coast-trail-2.jpg
othello-tunnels-path,Othello Tunnels Path,Coquihalla Canyon Provincial Park,easy,4.4,1.8,40,Out & Back,"Dogs on leash, Kid friendly, Hiking, Cave, Forest, Paved, River, Views, Historic site",https://www.alltrails.com/trail/canada/british-columbia/othello-tunnels-path?ref=result-card,othello-tunnels-path-0.jpg,othello-tunnels-path-1.jpg,othello-tunnels-path-2.jpg
nymph-falls,Nymph Falls Trail,Nymph Falls Nature Park,easy,4.5,2.6,67,Loop,"Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, Dog friendly, Views, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/nymph-falls?ref=result-card,nymph-falls-0.jpg,nymph-falls-1.jpg,nymph-falls-2.jpg
rosewall-creek-trail,Rosewall Creek Trail,Rosewall Creek Provincial Park,easy,4.4,5.8,117,Out & Back,"Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Forest, River, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/rosewall-creek-trail?ref=result-card,rosewall-creek-trail-0.jpg,rosewall-creek-trail-1.jpg,rosewall-creek-trail-2.jpg
stanley-park-seawall-path,Stanley Park Seawall Path,Stanley Park,easy,4.3,9.2,84,Out & Back,"Dogs on leash, Kid friendly, Hiking, Running, Views",https://www.alltrails.com/trail/canada/british-columbia/stanley-park-seawall-path?ref=result-card,stanley-park-seawall-path-0.jpg,stanley-park-seawall-path-1.jpg,stanley-park-seawall-path-2.jpg
twin-bridges-and-fishermans-loop-via-homestead-trail,Twin Bridges and Fisherman's Loop via Homestead Trail,Lower Seymour Conservation Reserve,easy,4.2,4.7,116,Loop,"Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Running, Cave, Forest, River, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/twin-bridges-and-fishermans-loop-via-homestead-trail?ref=result-card,twin-bridges-and-fishermans-loop-via-homestead-trail-0.jpg,twin-bridges-and-fishermans-loop-via-homestead-trail-1.jpg,twin-bridges-and-fishermans-loop-via-homestead-trail-2.jpg
deas-island,Deas Island,Deas Island Regional Park,easy,4.1,4.7,16,Loop,"Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, River, Views",https://www.alltrails.com/trail/canada/british-columbia/deas-island?ref=result-card,deas-island-0.jpg,deas-island-1.jpg,deas-island-2.jpg
giant-cedars-trail,Giant Cedars Boardwalk Trail,Mount Revelstoke National Park,easy,4.2,0.3,29,Loop,"Dogs on leash, Kid friendly, Nature trips, Walking, Forest, Wildflowers",https://www.alltrails.com/trail/canada/british-columbia/giant-cedars-trail?ref=result-card,giant-cedars-trail-0.jpg,giant-cedars-trail-1.jpg,giant-cedars-trail-2.jpg
holmes-peak,Holmes Peak ,Gowlland Tod Provincial Park,easy,4.4,2.7,122,Out & Back,"Dogs on leash, Hiking, Nature trips, Walking, Bird watching, Running, Forest, Lake, River, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/holmes-peak?ref=result-card,holmes-peak-0.jpg,holmes-peak-1.jpg,holmes-peak-2.jpg
hole-in-the-wall-port-alberni,Port Alberni Hole in the Wall,Alberni Rogers Creek Woodlands,easy,4.1,1.3,27,Out & Back,"Dogs on leash, Hiking, Mountain biking, Road biking, Running, Forest, Partially paved, River, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/hole-in-the-wall-port-alberni?ref=result-card,hole-in-the-wall-port-alberni-0.jpg,hole-in-the-wall-port-alberni-1.jpg,hole-in-the-wall-port-alberni-2.jpg
englishman-river-falls-provincial-park-trail,Englishman River Falls Provincial Park Trail,Englishman River Regional Park,easy,4.5,5,105,Loop,"Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Running, Forest, River, Views, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/englishman-river-falls-provincial-park-trail?ref=result-card,englishman-river-falls-provincial-park-trail-0.jpg,englishman-river-falls-provincial-park-trail-1.jpg,englishman-river-falls-provincial-park-trail-2.jpg
lower-myra-falls,Lower Myra Falls,Strathcona-Westmin Provincial Park,easy,4.6,1.3,33,Loop,"Kid friendly, Hiking, Nature trips, Walking, Forest, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/lower-myra-falls?ref=result-card,lower-myra-falls-0.jpg,lower-myra-falls-1.jpg,lower-myra-falls-2.jpg
timberman-trail-to-squally-reach-viewpoint,Timberman Trail to Squally Reach Viewpoint,Gowlland Tod Provincial Park,easy,4.2,5.5,236,Out & Back,"Dogs on leash, Kid friendly, Hiking, Walking, Running, Forest, Views",https://www.alltrails.com/trail/canada/british-columbia/timberman-trail-to-squally-reach-viewpoint?ref=result-card,timberman-trail-to-squally-reach-viewpoint-0.jpg,timberman-trail-to-squally-reach-viewpoint-1.jpg,timberman-trail-to-squally-reach-viewpoint-2.jpg
