10,Stoney Hill Trail Loop,Stoney Hill Regional Park,easy,4.6,3.7 km,115 m,Loop,", Dogs on leash, Hiking, Nature trips, Walking, Bird watching, Running, Forest, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/stoney-hill-trail-loop?ref=result-card
11,Sasamat Lake,Belcarra Regional Park,easy,4.3,3.2 km,48 m,Loop,", Dogs on leash, Kid friendly, Fishing, Hiking, Nature trips, Walking, Bird watching, Running, Beach, Forest, Lake, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/sasamat-lake?ref=result-card
12,Burnaby Lake Park Trail,Burnaby Lake Regional Park,easy,4,10.0 km,26 m,Loop,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Forest, Lake, River, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/burnaby-lake-park-trail?ref=result-card
13,Admiralty Point Trail,Belcarra Regional Park,easy,4.3,5.3 km,83 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, Forest, Lake, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/admiralty-point-trail?ref=result-card
14,Brandywine Trail,Brandywine Falls Park,easy,4.1,5.8 km,164 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Forest, Lake, Views, Waterfall, Snow",https://www.alltrails.com/trail/canada/british-columbia/brandywine-trail?ref=result-card
15,Four Lakes Trail,Alice Lake Provincial Park,easy,4.3,6.1 km,146 m,Loop,", Dogs on leash, Kid friendly, Camping, Fishing, Hiking, Mountain biking, Nature trips, Walking, Bird watching, Running, Beach, Forest, Lake, River, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/four-lakes-trail?ref=result-card
16,Deer Lake Trail,Deer Lake Park,easy,4.1,4.8 km,51 m,Loop,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, Forest, Lake, Partially paved, Views, Wildflowers",https://www.alltrails.com/trail/canada/british-columbia/deer-lake-trail?ref=result-card
17,Juan De Fuca Marine Trail to Mystic Beach Outlook,Juan de Fuca Provincial Park,easy,4.4,4.0 km,157 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Beach, Forest, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/juan-de-fuca-marine-trail-to-mystic-beach-outlook?ref=result-card
18,Bowen Lookout and Yew Lake Loop,Cypress Provincial Park,easy,4.4,4.3 km,150 m,Loop,", Kid friendly, Hiking, Nature trips, Snowshoeing, Walking, Bird watching, Running, Forest, Lake, Views, Wildlife, Snow, No dogs",https://www.alltrails.com/trail/canada/british-columbia/yew-lake-and-bowen-lookout?ref=result-card
19,Rolley Falls and Lake Trail,Rolley Lake Park,easy,4.1,4.7 km,160 m,Loop,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Lake, Views, Waterfall, Wildlife, Blowdown, Muddy",https://www.alltrails.com/trail/canada/british-columbia/rolley-falls-and-lake?ref=result-card
20,Whistler Train Wreck via Sea to Sky and Train Wreck Trails,"Whistler, British Columbia",easy,4.2,2.3 km,46 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Forest, River, Historic site",https://www.alltrails.com/trail/canada/british-columbia/whistler-train-wreck-via-sea-to-sky-and-train-wreck-trails?ref=result-card
21,Christie Falls via Trans Canada Trail,"Cowichan Valley H, British Columbia",easy,4.3,6.8 km,137 m,Loop,", Kid friendly, Hiking, Nature trips, Running, Forest, Waterfall, Wildlife, Snow",https://www.alltrails.com/trail/canada/british-columbia/christie-falls-via-trans-canada-trail?ref=result-card
22,Mundy Park Trail,Mundy Park,easy,4.3,4.3 km,51 m,Loop,", Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, Dog friendly, Forest, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/mundy-park-trail?ref=result-card
23,Englishman River Falls Trail,Englishman River Falls Provincial Park,easy,4.3,1.3 km,52 m,Loop,", Kid friendly, Camping, Hiking, Nature trips, Walking, Running, Beach, Dog friendly, Forest, Rails trails, River, Views, Waterfall, Wildlife, Rocky",https://www.alltrails.com/trail/canada/british-columbia/englishman-river-falls?ref=result-card
24,Westwood Lake Trail,Westwood Lake Park,easy,4.3,5.8 km,121 m,Loop,", Dogs on leash, Hiking, Mountain biking, Nature trips, Walking, Running, Forest, Lake, River, Views, Waterfall, Wildlife, Muddy, Rocky, Snow",https://www.alltrails.com/trail/canada/british-columbia/westwood-lake-trail?ref=result-card
25,Rice Lake via Rice Creek Loop Trail,Lower Seymour Conservation Reserve,easy,4.3,2.7 km,22 m,Loop,", Kid friendly, Stroller friendly, Fishing, Nature trips, Walking, Running, Forest, Lake, Views, Wildlife, No dogs",https://www.alltrails.com/trail/canada/british-columbia/rice-creek-loop-trail?ref=result-card
26,Cable Bay Nature Trail,"Nanaimo, British Columbia",easy,4.3,6.6 km,119 m,Out &amp; back,", Kid friendly, Hiking, Walking, Bird watching, Running, Beach, Dog friendly, River, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/cable-bay-nature-trail?ref=result-card
27,Lynn Canyon,Lynn Canyon Park,easy,4.3,2.7 km,146 m,Loop,", Kid friendly, Hiking, Nature trips, Running, Forest, River, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/lynn-canyon?ref=result-card
28,Cypress Falls,Cypress Falls Park,easy,4.1,2.7 km,124 m,Out &amp; back,", Kid friendly, Hiking, Nature trips, Bird watching, Running, Dog friendly, Forest, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/cypress-falls-hike?ref=result-card
29,Steelhead Falls Trail,Hayward Lake Recreation Area,easy,4.4,1.8 km,61 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Forest, River, Waterfall, Bridge out",https://www.alltrails.com/trail/canada/british-columbia/steelhead-falls-trail?ref=result-card
30,Fairy Creek Waterfall Trail,"Fernie, British Columbia",easy,4.2,4.5 km,105 m,Out &amp; back,", Kid friendly, Hiking, Mountain biking, Nature trips, Snowshoeing, Walking, Bird watching, Running, Dog friendly, Forest, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/fairy-creek-waterfall-trail?ref=result-card
31,Port Moody Shoreline Trail,Inlet Park,easy,3.8,5.8 km,26 m,Out &amp; back,", Dogs on leash, Wheelchair friendly, Kid friendly, Stroller friendly, Hiking, Mountain biking, Road biking, Walking, Running, Forest, Partially paved, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/port-moody-shoreline-trail?ref=result-card
32,Kanaka Creek,Kanaka Creek Regional Park,easy,4.3,2.3 km,89 m,Loop,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Forest, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/kanaka-creek?ref=result-card
33,Fort to Fort Trail,Brae Island Regional Park,easy,4.2,7.9 km,66 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, Forest, River, Views, Wildflowers",https://www.alltrails.com/trail/canada/british-columbia/fort-to-fort-trail--2?ref=result-card
34,Capilano Pacific Trail,Capilano River Regional Park,easy,4,6.0 km,203 m,Point to point,", Dogs on leash, Kid friendly, Fishing, Hiking, Mountain biking, Road biking, Walking, Bird watching, Running, Forest, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/capilano-pacific-trail?ref=result-card
35,Houston Trail,Derby Reach Regional Park,easy,4.2,4.2 km,59 m,Loop,", Dogs on leash, Kid friendly, Hiking, Horseback riding, Nature trips, Walking, Bird watching, Running, Forest, Views",https://www.alltrails.com/trail/canada/british-columbia/houston-trail?ref=result-card
36,Lightning Lake Loop,E.C. Manning Provincial Park,easy,4.2,8.5 km,206 m,Loop,", Kid friendly, Hiking, Snowshoeing, Walking, Bird watching, Dog friendly, Forest, Lake",https://www.alltrails.com/trail/canada/british-columbia/lightning-lake-loop?ref=result-card
37,Sandy Cove Trail,"Harrison Hot Springs, British Columbia",easy,4,3.5 km,158 m,Loop,", Kid friendly, Hiking, Nature trips, Walking, Bird watching, Forest, Lake, Views, Wildflowers",https://www.alltrails.com/trail/canada/british-columbia/sandy-cove-trail?ref=result-card
38,Little Qualicum Falls Provincial Park,Little Qualicum Falls Park,easy,4.3,2.9 km,66 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Forest, River, Views, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/little-qualicum-falls-provincial-park?ref=result-card
39,Rainforest Figure Eight,Pacific Rim National Park Reserve,easy,4.6,3.2 km,53 m,Loop,", Kid friendly, Hiking, Nature trips, Walking, Bird watching, Forest, Views, Wildflowers, Wildlife, No dogs",https://www.alltrails.com/trail/canada/british-columbia/rainforest-figure-eight?ref=result-card
40,East Canyon Trail,Golden Ears Provincial Park,easy,4.2,10.9 km,274 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Road biking, Walking, Bird watching, Running, Forest, River, Views, Waterfall, Wildflowers, Rocky",https://www.alltrails.com/trail/canada/british-columbia/east-canyon-trail?ref=result-card
41,Nairn Falls Trail,Nairn Falls Provincial Park,easy,4.1,2.6 km,108 m,Out &amp; back,", Dogs on leash, Hiking, Nature trips, Walking, Bird watching, Forest, Views, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/nairn-falls-trail?ref=result-card
42,Bridal Veil Falls,Bridal Veil Falls Park,easy,4.2,1.0 km,86 m,Loop,", Dogs on leash, Kid friendly, Hiking, Nature trips, Running, Forest, River, Views, Waterfall, Wildflowers, Wildlife, Muddy",https://www.alltrails.com/trail/canada/british-columbia/bridal-veil-falls?ref=result-card
43,Shannon Falls Lookout,Shannon Falls Provincial Park,easy,4.3,1.0 km,39 m,Loop,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Forest, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/shannon-falls-lookout?ref=result-card
44,Cedars Mill Trail,Lynn Headwaters Regional Park,easy,4.3,8.0 km,103 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Walking, Running, River",https://www.alltrails.com/trail/canada/british-columbia/cedars-mill-trail?ref=result-card
45,Jack Point,Biggs & Jack Point Park,easy,4.4,5.1 km,65 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Walking, Running, Beach, Forest, Views, Wildflowers",https://www.alltrails.com/trail/canada/british-columbia/jack-point--2?ref=result-card
46,Wild Pacific Trail: Brown's Beach to Rocky Bluffs,"Ucluelet, British Columbia",easy,4.5,2.6 km,37 m,Point to point,", Dogs on leash, Hiking, Nature trips, Walking, Bird watching, Running, Beach, Forest, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/wild-pacific-trail-browns-beach-to-rocky-bluffs?ref=result-card
47,Elk and Beaver Lake Loop,Elk/Beaver Lake Regional Park,easy,4.3,10.0 km,78 m,Loop,", Dogs on leash, Kid friendly, Mountain biking, Paddle sports, Walking, Running, Forest, Lake, Views, Muddy",https://www.alltrails.com/trail/canada/british-columbia/elk-and-beaver-lake-loop?ref=result-card
48,Paint Pots,Kootenay National Park,easy,3.9,1.9 km,52 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Snowshoeing, Walking, Forest, River",https://www.alltrails.com/trail/canada/british-columbia/paint-pots?ref=result-card
49,Hoodoo Trail,"Columbia Lake 3, British Columbia",easy,4,3.2 km,120 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/hoodoo-trail?ref=result-card
50,Cascade Falls,Cascade Falls Regional Park,easy,4.4,0.6 km,27 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Forest, River, Views, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/cascade-falls?ref=result-card
51,Smuggler Cove,Smuggler Cove Marine Provincial Park,easy,4.4,3.7 km,78 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Beach, Forest, Partially paved, Views",https://www.alltrails.com/trail/canada/british-columbia/smugglers-cove?ref=result-card
52,PoCo Traboulay Trail Loop,"Port Coquitlam, British Columbia",easy,4.3,25.3 km,79 m,Loop,", Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Running, Forest, River, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/poco-traboulay-trail-loop?ref=result-card
53,Creyke Point and Squeaky Point via Coast Trail,East Sooke Regional Park,easy,4.6,4.2 km,42 m,Out &amp; back,", Kid friendly, Hiking, Walking, Running, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/creyke-point-and-squeaky-point-via-coast-trail?ref=result-card
54,Othello Tunnels Path,Coquihalla Canyon Provincial Park,easy,4.4,1.8 km,40 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Cave, Forest, Paved, River, Views, Historic site",https://www.alltrails.com/trail/canada/british-columbia/othello-tunnels-path?ref=result-card
55,Nymph Falls Trail,Nymph Falls Nature Park,easy,4.5,2.6 km,67 m,Loop,", Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, Dog friendly, Views, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/nymph-falls?ref=result-card
56,Rosewall Creek Trail,Rosewall Creek Provincial Park,easy,4.4,5.8 km,117 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Forest, River, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/rosewall-creek-trail?ref=result-card
57,Stanley Park Seawall Path,Stanley Park,easy,4.3,9.2 km,84 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Running, Views",https://www.alltrails.com/trail/canada/british-columbia/stanley-park-seawall-path?ref=result-card
58,Twin Bridges and Fisherman's Loop via Homestead Trail,Lower Seymour Conservation Reserve,easy,4.2,4.7 km,116 m,Loop,", Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Running, Cave, Forest, River, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/twin-bridges-and-fishermans-loop-via-homestead-trail?ref=result-card
59,Deas Island,Deas Island Regional Park,easy,4.1,4.7 km,16 m,Loop,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, River, Views",https://www.alltrails.com/trail/canada/british-columbia/deas-island?ref=result-card
60,Giant Cedars Boardwalk Trail,Mount Revelstoke National Park,easy,4.2,0.3 km,29 m,Loop,", Dogs on leash, Kid friendly, Nature trips, Walking, Forest, Wildflowers",https://www.alltrails.com/trail/canada/british-columbia/giant-cedars-trail?ref=result-card
61,Holmes Peak ,Gowlland Tod Provincial Park,easy,4.4,2.7 km,122 m,Out &amp; back,", Dogs on leash, Hiking, Nature trips, Walking, Bird watching, Running, Forest, Lake, River, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/holmes-peak?ref=result-card
62,Port Alberni Hole in the Wall,Alberni Rogers Creek Woodlands,easy,4.1,1.3 km,27 m,Out &amp; back,", Dogs on leash, Hiking, Mountain biking, Road biking, Running, Forest, Partially paved, River, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/hole-in-the-wall-port-alberni?ref=result-card
63,Englishman River Falls Provincial Park Trail,Englishman River Regional Park,easy,4.5,5.0 km,105 m,Loop,", Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Running, Forest, River, Views, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/englishman-river-falls-provincial-park-trail?ref=result-card
64,Lower Myra Falls,Strathcona-Westmin Provincial Park,easy,4.6,1.3 km,33 m,Loop,", Kid friendly, Hiking, Nature trips, Walking, Forest, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/lower-myra-falls?ref=result-card
65,Timberman Trail to Squally Reach Viewpoint,Gowlland Tod Provincial Park,easy,4.2,5.5 km,236 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Walking, Running, Forest, Views",https://www.alltrails.com/trail/canada/british-columbia/timberman-trail-to-squally-reach-viewpoint?ref=result-card
66,Hayward Reservoir Trail and Steelhead Falls,Hayward Lake Recreation Area,easy,4.3,3.7 km,138 m,Out &amp; back,", Hiking, Walking, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/hayward-reservoir-trail-and-steelhead-falls?ref=result-card
67,Matheson Lake Loop,Matheson Lake Regional Park,easy,4.4,4.0 km,86 m,Loop,", Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, Forest, Lake, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/matheson-lake-loop?ref=result-card
68,Lower Bugaboo Falls,"East Kootenay G, British Columbia",easy,4.4,2.9 km,135 m,Out &amp; back,", Hiking, Nature trips, Walking, Bird watching, Dog friendly, Forest, River, Views, Waterfall, Bugs",https://www.alltrails.com/trail/canada/british-columbia/lower-bugaboo-falls?ref=result-card
69,Byrne Creek Ravine Loop Trail,Byrne Creek Ravine Park,easy,4,3.1 km,79 m,Loop,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Running, Forest, River",https://www.alltrails.com/trail/canada/british-columbia/byrne-creek-ravine?ref=result-card
70,West Dyke Trail,Terra Nova Rural Park,easy,4.1,11.9 km,24 m,Out &amp; back,", Dogs on leash, Hiking, Mountain biking, Nature trips, Road biking, Walking, Bird watching, Running, Forest, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/lulu-island-w-dyke-trail?ref=result-card
71,Capilano Canyon and Cleveland Dam,Capilano River Regional Park,easy,4.3,1.8 km,78 m,Out &amp; back,", Hiking, Nature trips, Walking, Dog friendly, Forest, Partially paved, River, Views",https://www.alltrails.com/trail/canada/british-columbia/capliano-canyon-and-cleveland-dam?ref=result-card
72,Brandywine Falls,Brandywine Falls Park,easy,4.2,1.3 km,56 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Forest, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/brandywine-falls--2?ref=result-card
73,Lost Lake ,"Whistler, British Columbia",easy,4,4.0 km,103 m,Loop,", Hiking, Nature trips, Road biking, Walking, Bird watching, Running, Forest, Lake, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/lost-lake?ref=result-card
74,"Lazy Boy, Tools of the Trade, and Ranch Climb Loop",Bassani Park,easy,4.2,3.4 km,124 m,Loop,", Hiking, Mountain biking, Nature trips, Walking, Bird watching, Running, Forest, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/lazy-boy-tools-of-the-trade-ranch-climb-loop?ref=result-card
75,Skookumchuck Narrows,Skookumchuk Narrows Provincial Park,easy,4.3,7.7 km,188 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Running, Forest, Lake, River, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/skookumchuck-narrows?ref=result-card
76,Tynehead Perimeter Trail,Tynehead Regional Park,easy,3.9,4.2 km,51 m,Loop,", Dogs on leash, Kid friendly, Stroller friendly, Hiking, Road biking, Walking, Running, Forest, Paved, River",https://www.alltrails.com/trail/canada/british-columbia/tynehead-regional-park?ref=result-card
77,The Panorama Trail,"Squamish, British Columbia",easy,4.2,1.8 km,44 m,Loop,", Kid friendly, Hiking, Nature trips, Walking, Forest, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/the-panorama-trail?ref=result-card
78,Twin Falls and 30 Foot Pool Loop,Lynn Canyon Park,easy,4.4,5.3 km,136 m,Loop,", Kid friendly, Hiking, Bird watching, Running, Forest, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/twin-falls-and-30-foot-pool-loop?ref=result-card
79,Juan de Fuca Marine Trail and Botanical Beach Loop Trail,Juan de Fuca Provincial Park,easy,4.6,2.9 km,66 m,Loop,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Bird watching, Beach, Wildflowers, Rocky",https://www.alltrails.com/trail/canada/british-columbia/juan-de-fuca-marine-trail-and-botanical-beach-loop-trail?ref=result-card
80,Katzie Marsh Loop,Pitt Wildlife Management Area,easy,3.9,6.6 km,12 m,Loop,", Dogs on leash, Kid friendly, Hiking, Mountain biking, Walking, Bird watching, Running, River, Views, Wildflowers, Wildlife, Over grown",https://www.alltrails.com/trail/canada/british-columbia/katzie-marsh-loop?ref=result-card
81,Bear Creek Falls,Glacier National Park,easy,4.5,1.1 km,36 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Forest, River, Views, Waterfall, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/bear-creek-falls?ref=result-card
82,Pepin Brook and Rock'N Horse Trail,Aldergrove Regional Park,easy,4.5,5.5 km,117 m,Loop,", Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Running, River",https://www.alltrails.com/trail/us/washington/pepin-brook-and-rockn-horse-trail?ref=result-card
83,Naramata Creek Falls,Creek Park,easy,4.3,1.8 km,70 m,Out &amp; back,", Dogs on leash, Kid friendly, Walking, Forest, River, Views, Waterfall",https://www.alltrails.com/trail/canada/british-columbia/naramata-creek-falls?ref=result-card
84,Kinsol Trestle Trail Recreation Site,Kinsol Trestle Trail Recreation Site,easy,4,3.4 km,102 m,Out &amp; back,", Kid friendly, Hiking, Walking, Forest, River, Views, Rocky, Historic site, No dogs",https://www.alltrails.com/trail/canada/british-columbia/kinsol-trestle-trail-recreation-site?ref=result-card
85,Addington Lookout via Fern Trail,Minnekhada Regional Park,easy,4.4,2.9 km,102 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Walking, Bird watching, Forest, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/addington-lookout-via-fern-trail?ref=result-card
86,Gold Mine Trail ,Goldstream Provincial Park,easy,4.3,3.5 km,135 m,Out &amp; back,", Hiking, Nature trips, Running, Forest, River, Views, Wildlife, Historic site",https://www.alltrails.com/trail/canada/british-columbia/gold-mine-trail--2?ref=result-card
87,Lost Lake Nature Trail,Whistler Mountain Bike Park,easy,4.3,2.7 km,85 m,Loop,", Dogs on leash, Kid friendly, Cross-country skiing, Hiking, Mountain biking, Nature trips, Snowshoeing, Walking, Bird watching, Running, Forest, Lake, Views, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/lost-lake-nature-trail?ref=result-card
88,Neck Point Park Loop,Neck Point Park,easy,4.4,1.8 km,20 m,Loop,", Kid friendly, Hiking, Nature trips, Walking, Bird watching, Beach, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/neck-point-park-loop?ref=result-card
89,Helmcken Falls Rim Trail,Wells Gray Provincial Park,easy,4.2,8.0 km,203 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Nature trips, Walking, Forest, River, Views, Waterfall, Bugs",https://www.alltrails.com/trail/canada/british-columbia/helmcken-falls-rim-trail?ref=result-card
90,Capilano Suspension Bridge,Capilano Suspension Bridge Park,easy,4.2,1.8 km,91 m,Loop,", Kid friendly, Hiking, Nature trips, Walking, Forest, River, Views, No dogs",https://www.alltrails.com/trail/canada/british-columbia/capilano-suspension-bridge?ref=result-card
91,Shore Pine and Beacon Lane Trail,Lighthouse Park,easy,4.4,3.2 km,132 m,Loop,", Kid friendly, Hiking, Walking, Running, Views, Wildlife, Historic site",https://www.alltrails.com/trail/canada/british-columbia/shore-pine-and-beacon-lane-trail?ref=result-card
92,Burns Bog Trail,Delta Nature Resere,easy,3.9,4.2 km,19 m,Loop,", Dogs on leash, Wheelchair friendly, Kid friendly, Stroller friendly, Hiking, Nature trips, Walking, Bird watching, Running, Forest, Paved, River, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/burns-bog?ref=result-card
93,Spanish Banks and Jericho Beach,Pacific Spirit Regional Park,easy,4.3,9.0 km,41 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Mountain biking, Road biking, Walking, Running, Beach, Views",https://www.alltrails.com/trail/canada/british-columbia/spanish-banks-and-jericho-beach?ref=result-card
